CRN,Subject,Department,Number,Section,Instructor,Days,Start Time,End Time,Building,Room,Campus,Class Type,Method,DP or IN,PoT,Actual,Max
34876,CJ,CJCR,2310,251,"Padilla, Kathleen Elizabeth",_______,,,ARR,ARR,Online,LEC,INT,,1,59,60
36107,CJ,CJCR,2310,252,"Carmouche, Joshua Harry",__T_R__,9:30 AM,10:50 AM,HINE,205,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,68,100
39266,CJ,CJCR,2310,253,"Padilla, Kathleen Elizabeth",_______,,,ARR,ARR,Online,LEC,INT,,1,55,60
39267,CJ,CJCR,2310,254,"Brien, Gilbert Francis",_M_W___,12:30 PM,1:50 PM,HINE,206,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,59,60
34628,CJ,CJCR,2350,251,"Soderstrom, Melanie Frances",__T_R__,8:00 AM,9:20 AM,HINE,206,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,27,70
36108,CJ,CJCR,2350,252,"Barr, Geoffrey Ira",_M_W___,5:00 PM,6:20 PM,HINE,206,Online,LEC,INT,,1,64,70
36109,CJ,CJCR,2350,253,"Soderstrom, Melanie Frances",__T_R__,3:30 PM,4:50 PM,HINE,205,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,56,70
39966,CJ,CJCR,2350,254,"Neidhardt, Tanner Mcgill",_M_W___,12:30 PM,1:50 PM,HINE,201,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,68,70
30355,CJ,CJCR,2355,251,"Polk, Taylor Charles",_M_W___,2:00 PM,3:20 PM,HINE,201,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,66,65
34629,CJ,CJCR,2355,252,"Logan, Matthew William",_______,,,ARR,ARR,Online,LEC,INT,,1,80,80
39268,CJ,CJCR,2355,253,"Polk, Taylor Charles",__T_R__,9:30 AM,10:50 AM,HINE,207,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,67,80
40421,CJ,CJCR,2355,254,"Logan, Matthew William",_______,,,ARR,ARR,Online,LEC,INT,,1,37,65
36110,CJ,CJCR,2360,251,"Baker, Brian Lee",_M_W___,3:30 PM,4:50 PM,HINE,205,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,99,100
36111,CJ,CJCR,2360,252,"Baker, Brian Lee",_M_W___,5:00 PM,6:20 PM,HINE,205,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,51,100
30358,CJ,CJCR,3300,251,"Miller, Monishia Denee",__T_R__,9:30 AM,10:50 AM,HINE,203,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,58,60
39269,CJ,CJCR,3300,252,"Soderstrom, Melanie Frances",__T_R__,11:00 AM,12:20 PM,HINE,206,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,60,60
36112,CJ,CJCR,3300,253,"Perez, Roxanne",_M_W___,11:00 AM,12:20 PM,HINE,203,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,58,60
39482,CJ,CJCR,3300,254,"Spence, Andre Lamont",_______,,,ARR,ARR,Online,LEC,INT,,1,46,45
40427,CJ,CJCR,3300,255,"Elsass, H Jaymi",_______,,,ARR,ARR,Online,LEC,INT,,1,23,45
36113,CJ,CJCR,3322,251,"Descartes, Elisa",_M_W___,2:00 PM,3:20 PM,HINE,205,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,35,35
36650,CJ,CJCR,3322,252,"Carreon, Jennifer Renee",_______,,,ARR,ARR,Online,LEC,INT,,1,39,35
39270,CJ,CJCR,3322,253,"Bowman, Scott W",__T_R__,12:30 PM,1:50 PM,HINE,203,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,35,35
32618,CJ,CJCR,3323,251,"Hinojosa, Leonard R",__T_R__,2:00 PM,3:20 PM,HINE,205,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,100,100
36114,CJ,CJCR,3323,252,"Smith, Craig Anthony",__T_R__,5:00 PM,6:20 PM,HINE,205,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,35,100
36956,CJ,CJCR,3325,251,"Angiuli, Mikelle Katherine",_M_W___,2:00 PM,3:20 PM,HINE,206,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,78,95
36115,CJ,CJCR,3329,251,"Hinojosa, Leonard R",__T_R__,11:00 AM,12:20 PM,HINE,205,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,101,100
30369,CJ,CJCR,3346,251,"Withrow, Brian L",_______,,,ARR,ARR,Online,LEC,INT,,1,36,35
30371,CJ,CJCR,3346,252,"Withrow, Brian L",_______,,,ARR,ARR,Online,LEC,INT,,1,35,35
30372,CJ,CJCR,3346,253,"Bumgarner, Jeffrey Brian",__T_R__,5:00 PM,6:20 PM,HINE,206,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,30,35
36116,CJ,CJCR,3346,254,"Kim, Doyoung",__T_R__,3:30 PM,4:50 PM,HINE,203,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,35,35
39271,CJ,CJCR,3346,255,"Shallenberger, Alyssa Nicole",_M_W___,12:30 PM,1:50 PM,HINE,205,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,35,35
30420,CJ,CJCR,3347,251,"Rodriguez, Lucia Socorro",_______,,,ARR,ARR,Online,LEC,INT,,1,27,30
31841,CJ,CJCR,3347,252,"Olma, Tayte Marie",__T_R__,11:00 AM,12:20 PM,HINE,101,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,25,25
